 -0.305  1066219
 -1.098  1066220
 -1.829  1066221
 -2.561  1066222
 -2.805  1066223
 -3.049  1066224
 -3.171  1066225
 -3.293  1066226
 -3.049  1066227
 -2.805  1066228
 -2.378  1066229
 -2.012  1066230
 -1.646  1066231
 -1.402  1066232
 -1.098  1066233
 -0.915  1066234
 -0.915  1066235
 -0.976  1066236
 -0.915  1066237
 -0.854  1066238
 -0.854  1066239
 -0.793  1066240
 0.000   1066242
 0.610   1066243
 1.768   1066245
 2.561   1066246
 4.451   1066249
 4.939   1066250
 5.366   1066251
 5.915   1066252
 6.220   1066253
 6.585   1066254
 6.585   1066255
 6.890   1066256
 6.890   1066257
 7.012   1066258
 6.707   1066259
 6.646   1066260
 6.341   1066261
 6.220   1066262
 5.793   1066263
 5.427   1066264
 4.756   1066265
 4.390   1066266
 3.902   1066267
 3.354   1066268
 2.683   1066269
 2.134   1066270
 1.402   1066271
 0.549   1066272
 -0.244  1066273
 -0.854  1066274
 -1.402  1066275
 -1.951  1066276
 -2.256  1066277
 -2.500  1066278
 -2.439  1066279
 -2.378  1066280
 -1.951  1066282
 -1.159  1066284
 -0.915  1066285
 -0.915  1066286
 -0.915  1066287
 -1.098  1066288
 -1.220  1066289
 -1.524  1066290
 -2.012  1066291
 -2.256  1066292
 -2.378  1066293
 -2.134  1066294
 -2.134  1066295
 -1.646  1066296
 -1.220  1066297
 -0.366  1066298
 1.098   1066300
 1.098   1066300
 1.707   1066301
 2.805   1066302
 3.476   1066303
 4.329   1066304
 4.817   1066305
 5.610   1066306
 6.037   1066307
 6.463   1066308
 6.646   1066309
 6.951   1066310
 7.012   1066311
 7.134   1066312
 7.012   1066313
 6.829   1066314
 6.585   1066315
 6.280   1066316
 5.976   1066317
 5.427   1066318
 4.817   1066319
 4.207   1066320
 2.988   1066322
 2.317   1066323
 0.610   1066325
 0.610   1066325
 -0.122  1066326
 -0.976  1066327
 -1.707  1066328
 -2.439  1066329
 -2.805  1066330
 -3.049  1066331
 -2.927  1066332
 -2.683  1066333
 -2.195  1066334
 -1.646  1066335
 -0.793  1066336
 -0.122  1066337
 0.610   1066338
 1.220   1066339
 1.768   1066340
 2.195   1066341
 2.378   1066342
 2.256   1066343
 2.134   1066344
 1.829   1066345
